VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	14:39:13	32.483398	12.409983	3.124678	3.728027	38.777203	121.098999

2014-7-21	14:39:43	32.485245	12.409983	3.169536	3.713379	39.333889	120.630020

2014-7-21	14:40:13	32.485249	12.409983	2.932263	3.764648	36.389336	122.295540

2014-7-21	14:40:43	32.490791	12.408013	2.929902	3.588867	36.354263	116.605133

2014-7-21	14:41:13	32.485245	12.408013	3.014895	3.679199	37.408855	119.519684

2014-7-21	14:41:43	32.488945	12.408013	3.034963	3.603516	37.657856	117.074425

2014-7-21	14:42:13	32.485245	12.408013	3.227378	3.569336	40.045349	115.950752

2014-7-21	14:42:43	32.485245	12.408013	3.239183	3.647461	40.191822	118.488663

2014-7-21	14:43:13	32.485245	12.409983	3.385559	3.872070	42.014732	125.785149

2014-7-21	14:43:43	32.485245	12.409983	3.322995	3.752441	41.238308	121.898979

2014-7-21	14:44:13	32.487095	12.404073	3.406808	3.754883	42.258293	121.985237

2014-7-21	14:44:43	32.481552	12.404074	4.273265	3.964844	53.005898	128.784286

2014-7-21	14:45:13	32.483398	12.398164	4.201257	3.881836	52.087875	126.095222

2014-7-21	14:45:43	31.489269	12.402103	3.456387	4.033203	42.866467	127.002617

2014-7-21	14:46:13	24.796343	12.350891	3.304108	3.569336	40.808678	88.506477

2014-7-21	14:46:43	31.723940	12.419831	3.245085	4.580078	40.303410	145.298126

2014-7-21	14:47:13	31.162195	12.409983	3.816427	4.343262	47.361797	135.345566

2014-7-21	14:47:43	30.519133	12.411953	3.834134	4.497070	47.589088	137.246689

2014-7-21	14:48:13	32.490788	12.408013	3.804623	3.769531	47.207813	122.475037

2014-7-21	14:48:43	32.488945	12.396195	4.314581	3.779297	53.484394	122.785370

2014-7-21	14:49:14	30.727945	12.390286	4.110362	4.128418	50.928562	126.857803

2014-7-21	14:49:44	29.040861	12.325286	4.089114	2.614746	50.399502	75.934479

2014-7-21	14:50:14	27.970957	12.252396	3.841217	2.343750	47.064110	65.556931

2014-7-21	14:50:44	24.247532	12.309521	4.267364	5.349121	52.529202	129.702988

2014-7-21	14:51:14	30.485878	12.390286	4.765517	5.126953	59.046116	156.299667

2014-7-21	14:51:44	28.819113	12.394223	4.216604	4.689941	52.261528	135.159958

2014-7-21	14:52:14	32.494492	12.398164	4.161122	3.798828	51.590271	123.440987

2014-7-21	14:52:44	32.494492	12.402103	4.218964	3.803711	52.324028	123.599655

2014-7-21	14:53:14	32.494492	12.404073	4.139873	3.825684	51.351288	124.313644

2014-7-21	14:53:44	32.496338	12.408013	4.315763	3.923340	53.550037	127.494179

2014-7-21	14:54:14	32.492649	12.408013	4.139873	3.745117	51.367599	121.688782

2014-7-21	14:54:44	32.498192	12.404073	4.287430	3.771973	53.181599	122.582291

2014-7-21	14:55:14	32.511131	12.406042	4.108001	3.723145	50.964031	121.043640

2014-7-21	14:55:44	32.498192	12.406042	4.126888	3.757324	51.198345	122.106247

2014-7-21	14:56:14	32.505581	12.408013	4.015924	3.713379	49.829643	120.705536

2014-7-21	14:56:44	32.511127	12.408013	4.039534	3.903809	50.122593	126.917221

2014-7-21	14:57:14	32.507439	12.408013	4.116264	3.796387	51.074657	123.410805

2014-7-21	14:57:44	32.507431	12.406043	4.046617	3.840332	50.202503	124.839325

2014-7-21	14:58:14	32.505589	12.404073	4.130429	3.872070	51.234146	125.863922

2014-7-21	14:58:44	32.503735	12.409983	4.053700	3.850098	50.306347	125.142555

2014-7-21	14:59:14	32.501888	12.406043	4.079669	3.742676	50.612556	121.644028

2014-7-21	14:59:45	32.507431	12.408013	3.921489	3.713379	48.657883	120.712410

2014-7-21	15:00:15	32.507439	12.408013	3.976970	3.789062	49.346294	123.172714

2014-7-21	15:00:45	32.500038	12.408014	4.010023	3.825684	49.756424	124.334862

2014-7-21	15:01:15	32.509277	12.404074	4.047798	3.784180	50.209187	123.020950

2014-7-21	15:01:45	32.505581	12.409983	4.017105	3.835449	49.852203	124.673508

2014-7-21	15:02:15	32.512981	12.408013	4.040715	3.928223	50.137241	127.718231

2014-7-21	15:02:45	32.511135	12.413924	3.861285	4.116211	47.933701	133.822693

2014-7-21	15:03:15	32.518528	12.411953	3.920309	4.118652	48.658688	133.932510

2014-7-21	15:03:45	32.524067	12.411953	3.938015	3.916016	48.878460	127.364754

2014-7-21	15:04:15	32.514835	12.408013	3.948639	3.757324	48.994762	122.168777

2014-7-21	15:04:45	32.514828	12.408013	4.234310	3.718262	52.539375	120.898636

2014-7-21	15:05:15	32.524075	12.406042	4.190633	3.762207	51.989166	122.362305

2014-7-21	15:05:45	32.525917	12.408013	4.039535	3.796387	50.122601	123.480957

2014-7-21	15:06:15	32.522221	12.408013	4.045437	3.784180	50.195835	123.069923

2014-7-21	15:06:45	32.531460	12.409983	4.067865	3.884277	50.482140	126.361214

2014-7-21	15:07:15	32.520374	12.406043	4.333470	3.916016	53.761215	127.350296

2014-7-21	15:07:45	32.529617	12.408013	4.111542	3.845215	51.016071	125.083366

2014-7-21	15:08:15	32.533310	12.408013	4.069046	3.933105	50.488770	127.956940

2014-7-21	15:08:45	32.222866	12.409983	4.159941	4.143066	51.624798	133.501480

2014-7-21	15:09:15	32.466785	12.409984	4.165843	3.991699	51.698044	129.597641

2014-7-21	15:09:46	32.535160	12.409983	4.065504	3.955078	50.452835	128.679092

2014-7-21	15:10:16	32.535160	12.409983	4.195356	4.033203	52.064293	131.220917

2014-7-21	15:10:46	32.535164	12.406043	4.214242	3.852539	52.282074	125.342987

2014-7-21	15:11:16	32.537010	12.408013	4.050159	3.837891	50.254421	124.873489

2014-7-21	15:11:46	32.533314	12.408013	4.163483	3.786621	51.660553	123.191330

2014-7-21	15:12:16	32.354065	12.404073	4.244935	3.872070	52.654476	125.277214

2014-7-21	15:12:46	32.535164	12.408013	4.012384	3.696289	49.785713	120.259369

2014-7-21	15:13:16	32.538857	12.408013	4.083211	3.732910	50.664536	121.464630

2014-7-21	15:13:46	32.538857	12.408013	4.157580	3.876953	51.587315	126.151619

2014-7-21	15:14:16	32.531464	12.409983	4.182371	3.923340	51.903149	127.631989

2014-7-21	15:14:46	32.535160	12.409983	3.943917	3.789062	48.943947	123.277756

2014-7-21	15:15:16	32.535164	12.409983	4.148137	3.830566	51.478310	124.628105

2014-7-21	15:15:46	32.531460	12.408013	4.054881	3.923340	50.313011	127.631973

2014-7-21	15:16:16	32.529617	12.409983	4.211882	3.806152	52.269379	123.812675

2014-7-21	15:16:46	32.538857	12.409983	4.013564	3.820801	49.808262	124.324486

2014-7-21	15:17:16	32.538857	12.409983	3.933293	3.835449	48.812096	124.801132

